ID,Post Name,Post Description,Likes,Comments,Shares
0,Donald J. Trump,"If you are doing poorly, as so many of you are, do not send anything. If you are doing well, which was made possible through the great policies of the Trump Administration, send your contribution to https://www.donaldjtrump.com
We have to take back our Country and, MAKE AMERICA GREAT AGAIN!",57K,0,15K comments
1,Donald J. Trump,I'M BACK!,Sudhanshu Allurwar and 260K others,0,88K comments
2,Donald J. Trump,The only crime that I have committed is to fearlessly defend our nation from those who seek to destroy it.,69K,0,19K comments
3,Donald Trump Jr.,"BREAKING: Trump Announces Plan to End The Stupid Wars, Sends A Huge Warning to The Deep State! - WATCH.",14K,0,2.8K comments
4,Robert Reich,"Friends,
I hate to say this, but America no longer has two parties devoted to a democratic system of self-government. We have a Democratic Party, which — notwithstanding a few glaring counter-examples such as what the Democratic National Committee did to Bernie in 2016 — is still largely committed to democracy. And we have a Republican Party, which is careening at high-velocity toward authoritarianism. Okay, fascism.
What occurred in Nashville last week is a frightening rem… See more",3.6K,1.1K comments,1.7K shares
5,Donald J. Trump,"LIVE: President Trump Delivers Remarks at NRA Annual Meeting
Text TRUMP to 88022",41K,0,31K comments
6,Donald Trump Jr.,"Watch.
Like and Follow my friend and patriot Benny Johnson today!",36K,0,8.4K comments
7,Sean Feucht,"Political persecution is un-American and evil. 
It’s not who we are. Corrupt nations weaponize the judicial system against political opponents. But we don’t do that here in America. 
This is a shameful day in our nations history. … See more",8K,0,1.3K comments
8,Donald J. Trump,"If you are doing poorly, as so many of you are, do not send anything. If you are doing well, which was made possible through the great policies of the Trump Administration, send your contribution to https://www.donaldjtrump.com
We have to take back our Country and, MAKE AMERICA GREAT AGAIN!",57K,0,15K comments
9,Donald J. Trump,I'M BACK!,Sudhanshu Allurwar and 260K others,0,88K comments
10,Donald J. Trump,The only crime that I have committed is to fearlessly defend our nation from those who seek to destroy it.,69K,0,19K comments
11,Donald Trump Jr.,"BREAKING: Trump Announces Plan to End The Stupid Wars, Sends A Huge Warning to The Deep State! - WATCH.",14K,0,2.8K comments
12,Robert Reich,"Friends,
I hate to say this, but America no longer has two parties devoted to a democratic system of self-government. We have a Democratic Party, which — notwithstanding a few glaring counter-examples such as what the Democratic National Committee did to Bernie in 2016 — is still largely committed to democracy. And we have a Republican Party, which is careening at high-velocity toward authoritarianism. Okay, fascism.
What occurred in Nashville last week is a frightening rem… See more",3.6K,1.1K comments,1.7K shares
13,Donald J. Trump,"LIVE: President Trump Delivers Remarks at NRA Annual Meeting
Text TRUMP to 88022",41K,0,31K comments
14,Donald Trump Jr.,"Watch.
Like and Follow my friend and patriot Benny Johnson today!",36K,0,8.4K comments
15,Sean Feucht,"Political persecution is un-American and evil. 
It’s not who we are. Corrupt nations weaponize the judicial system against political opponents. But we don’t do that here in America. 
This is a shameful day in our nations history. … See more",8K,0,1.3K comments
16,Donald Trump Jr.,"Check out my Father's new book Letters to Trump today!
https://winningpublishing.com/products/letters-to-trump",3.4K,0,1.7K comments
17,Shaun King,Hear me out: I actually agree with this. Here’s why: Trump WANTED to be photographed in handcuffs. He WANTED to have a mugshot and planned on using it on merch and more. Those things leaked a couple days ago that he was hoping to be filmed and photographed in handcuffs because he thought it would be a profound moment he could use politically. Now he can’t. It’s that simple.,2K,0,488 comments
18,,,,0,0
19,,,,0,0
20,,,,0,0
21,Donald Trump Jr.,"BREAKING: Trump Announces Plan to End The Stupid Wars, Sends A Huge Warning to The Deep State! - WATCH.",14K,0,2.8K comments
